Category,Total,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
Transportation and warehousing,"8,017",25.1,69.0,21.3,5.8,21.5
Professional and technical services,"12,877",43.1,77.1,7.1,13.1,9.9
Health care and social assistance,"21,204",77.6,72.3,17.1,7.3,14.2
Accommodation and food services,"9,739",52.5,74.6,12.6,7.3,27.3
